Lepirudin	DB00001
ORG-25435	DB12312
Dopexamine	DB12313
Chlorproguanil	DB12314
Vanucizumab	DB12317
Benzbromarone	DB12319
Palovarotene	DB12320
Ifetroban	DB12321
Radotinib	DB12323
Salvinorin_A	DB12327
Cantharidin	DB12328
Eravacycline	DB12329
Blisibimod	DB12330
Rucaparib	DB12332
Milataxel	DB12334
Tanezumab	DB12335
Carisbamate	DB12338
Radezolid	DB12339
Navitoclax	DB12340
CERC-501	DB12341
Ensituximab	DB12342
Temocillin	DB12343
Fezakinumab	DB12344
Vatelizumab	DB12346
Rostafuroxin	DB12350
Duocarmycin	DB12352
Fletikumab	DB12356
Butyl_cyanoacrylate	DB12358
Piclozotan	DB12361
Dusigitumab	DB12363
Betrixaban	DB12364
Perzinfotel	DB12365
Vestronidase_alfa	DB12366
Selurampanel	DB12367
Ipamorelin	DB12370
Siponimod	DB12371
Relebactam	DB12377
Apricoxib	DB12378
Indirubin	DB12379
Merestinib	DB12381
Evocalcet	DB12388
Seladelpar	DB12390
Resminostat	DB12392
Fanapanel	DB12393
Esreboxetine	DB12395
Fresolimumab	DB12396
Polmacoxib	DB12399
Bromperidol	DB12401
Samarium	DB12403
Remimazolam	DB12404
Triciribine	DB12405
Lisofylline	DB12406
Iobitridol	DB12407
Sabarubicin	DB12410
Gemigliptin	DB12412
Indusatumab_vedotin	DB12413
Galeterone	DB12415
Anagliptin	DB12417
Saccharin	DB12418
Sulforaphane	DB12422
Bitopertin	DB12426
Orvepitant	DB12427
Vofopitant	DB12436
Tavilermide	DB12441
17-Dimethylaminoethylamino-17-demethoxygeldanamycin	DB12442
Theanine	DB12444
Nadifloxacin	DB12447
4-Hydroxy-TEMPO	DB12449
1-Octanol	DB12452
Omadacycline	DB12455
Bococizumab	DB12456
Rimegepant	DB12457
Muscimol	DB12458
Belotecan	DB12459
Semagacestat	DB12463
Bevenopran	DB12464
Ketanserin	DB12465
Favipiravir	DB12466
Dexelvucitabine	DB12470
Levodropropizine	DB12472
Taurolidine	DB12473
Lynestrenol	DB12474
Piribedil	DB12478
Zabofloxacin	DB12479
Barium	DB12481
Acotiamide	DB12482
Copanlisib	DB12483
Elobixibat	DB12486
Promestriene	DB12487
Piritramide	DB12492
Selepressin	DB12495
Alagebrium	DB12497
Mogamulizumab	DB12498
Clascoterone	DB12499
Fedratinib	DB12500
Colony_stimulating_factor_1_receptor	DB12504
Imeglimin	DB12509
Ozone	DB12510
Verucerfont	DB12512
Omaveloxolone	DB12513
PF-00446687	DB12517
Raclopride	DB12518
Sarcosine	DB12519
Plozalizumab	DB12520
Mizolastine	DB12523
Molgramostim	DB12525
Nitrite	DB12529
Inebilizumab	DB12530
Oxetacaine	DB12532
Mavrilimumab	DB12534
N-Acetylmannosamine	DB12536
Benzodiazepine	DB12537
Nepadutant	DB12538
Oltipraz	DB12539
Lecozotan	DB12540
Samidorphan	DB12543
Indobufen	DB12545
Idazoxan	DB12551
Fluocinolone	DB12553
Mebeverine	DB12554
Nelotanserin	DB12555
AEE788	DB12558
Blosozumab	DB12560
Setipiprant	DB12562
Abexinostat	DB12565
Decernotinib	DB12566
Camicinal	DB12567
Tecemotide	DB12568
Pexacerfont	DB12572
Combretastatin_A-4_phosphate	DB12577
Tradipitant	DB12580
Ozarelix	DB12581
Piperine	DB12582
Bimagrumab	DB12584
Razupenem	DB12587
Dacetuzumab	DB12589
Indiplon	DB12590
Apaziquone	DB12593
Nafamostat	DB12598
Sisomicin	DB12604
Diridavumab	DB12607
Emixustat	DB12608
Tovetumab	DB12609
Ebselen	DB12610
Ozanimod	DB12612
Plazomicin	DB12615
Sprifermin	DB12616
Mizoribine	DB12617
Apocynin	DB12618
Nerve_growth_factor	DB12620
Lupeol	DB12622
Octenidine_dihydrochloride	DB12624
Evogliptin	DB12625
Samalizumab	DB12636
Onapristone	DB12637
Tedatioxetine	DB12641
Nelivaptan	DB12643
Givinostat	DB12645
Tocotrienol	DB12647
Ibipinabant	DB12649
Endothelin-1	DB12652
Somatorelin	DB12656
Samatasvir	DB12660
Urapidil	DB12661
Indantadol	DB12664
Isoquercetin	DB12665
Emapunil	DB12666
Prothionamide	DB12667
Met-enkephalin	DB12668
Rolofylline	DB12670
Beloranib	DB12671
5,10-Methylenetetrahydrofolate	DB12676
Relamorelin	DB12678
Intepirdine	DB12680
Mubritinib	DB12682
Lumretuzumab	DB12683
RAGE_(receptor)	DB12689
Gusperimus	DB12692
Ritanserin	DB12693
Phenethyl_isothiocyanate	DB12695
Methylselenocysteine	DB12697
Ibalizumab	DB12698
Solamargine	DB12700
Intetumumab	DB12701
Velusetrag	DB12702
Spiradoline	DB12704
Sulprostone	DB12708
Tributyrin	DB12709
Perazine	DB12710
Pilsicainide	DB12712
Sotagliflozin	DB12713
Mibampator	DB12717
Carlumab	DB12718
Monteplase	DB12726
Perfosfamide	DB12727
Dipraglurant	DB12733
Demcizumab	DB12734
Etanidazole	DB12736
Brontictuzumab	DB12737
De_Havilland_Canada_DHC-5_Buffalo	DB12740
Butylphthalide	DB12749
Malic_acid	DB12751
Bucindolol	DB12752
Racivir	DB12753
Iodide	DB12754
Zoptarelin_doxorubicin	DB12755
Suptavumab	DB12759
Rabacfosadine	DB12762
Methyl_isocyanate	DB12765
Cicletanine	DB12766
BCG_vaccine	DB12768
Lafutidine	DB12770
Hydroxytyrosol	DB12771
Sifalimumab	DB12773
Abituzumab	DB12775
Higenamine	DB12779
Quinfamide	DB12780
Benserazide	DB12783
Norethandrolone	DB12787
Laninamivir	DB12791
Condoliase	DB12793
Ecromeximab	DB12797
Laniquidar	DB12799
Trifarotene	DB12808
Crotedumab	DB12815
Terpinen-4-ol	DB12816
Zoliflodacin	DB12817
New_Mexico%27s_3rd_congressional_district	DB12818
Perfluorobutane	DB12821
Tecarfarin	DB12823
Monalizumab	DB12824
Lefamulin	DB12825
1-Methyltryptophan	DB12827
Thioacetazone	DB12829
Cebranopadol	DB12830
Gabexate	DB12831
Prednimustine	DB12832
Tandospirone	DB12833
Secnidazole	DB12834
Grapiprant	DB12836
Pegvaliase	DB12839
Pirnabine	DB12840
Oleandrin	DB12843
Rontalizumab	DB12844
Amatuximab	DB12845
Reproterol	DB12846
Clazakizumab	DB12849
Etalocib	DB12850
Miravirsen	DB12851
Apricitabine	DB12855
Tantalum	DB12859
Actinium	DB12860
Rimeporide	DB12861
Sivelestat	DB12863
Melarsoprol	DB12864
Etelcalcetide	DB12865
Benperidol	DB12867
Eliprodil	DB12869
Quizartinib	DB12874
Mavatrep	DB12875
Oxatomide	DB12877
4-Chlorokynurenine	DB12878
Omigapil	DB12879
Interleukin-10	DB12880
Indole-3-carbinol	DB12881
Ombrabulin	DB12882
Eltoprazine	DB12883
Lavoltidine	DB12884
Tazemetostat	DB12887
Ezutromid	DB12888
Velneperit	DB12889
Dihydrexidine	DB12890
Ozanezumab	DB12891
Sacituzumab_govitecan	DB12893
Trofosfamide	DB12902
Mannose	DB12907
Factor_XIII	DB12909
Emicerfont	DB12910
Nolatrexed	DB12912
Bimekizumab	DB12917
T-62	DB12919
Gallopamil	DB12923
Ozenoxacin	DB12924
Cafedrine	DB12926
Theodrenaline	DB12927
Opipramol	DB12930
Fenobam	DB12931
Merotocin	DB12932
Remogliflozin_etabonate	DB12935
Darolutamide	DB12941
Lactitol	DB12942
Milatuzumab	DB12943
Phloroglucinol	DB12944
Dihydralazine	DB12945
Dipropylcyclopentylxanthine	DB12946
Doxifluridine	DB12947
Pivagabine	DB12951
Terizidone	DB12954
Vantictumab	DB12956
Prothipendyl	DB12958
Leukotriene_B4	DB12961
Lerisetron	DB12964
Silver	DB12965
Mitoguazone	DB12967
Isopregnanolone	DB12972
Serlopitant	DB12973
Pyronaridine	DB12975
Robatumumab	DB12976
Pexidartinib	DB12978
Nepicastat	DB12979
Silicon	DB12982
Phthalocyanine	DB12983
Larotaxel	DB12984
Quisinostat	DB12985
Neosaxitoxin	DB12989
Berkelium	DB12993
Verbascoside	DB12996
Brilacidin	DB12997
Cortivazol	DB13003
Mavoglurant	DB13004
Bcr-Abl_tyrosine-kinase_inhibitor	DB13005
Enfortumab_vedotin	DB13007
Carbendazim	DB13009
Hypericin	DB13014
Dimiracetam	DB13018
Tiapride	DB13025
Ornidazole	DB13026
Biapenem	DB13028
Niobium	DB13031
Ramatroban	DB13036
Namilumab	DB13037
Gandotinib	DB13040
Odalasvir	DB13041
Fenoverine	DB13042
Gossypol	DB13044
Racotumomab	DB13045
PAC-1	DB13048
Tirilazad	DB13050
Irsogladine	DB13056
Parthenolide	DB13063
Tramazoline	DB13064
Liarozole	DB13066
Rotigaptide	DB13067
Nimustine	DB13069
Surinabant	DB13070
Creatinolfosfate	DB13071
Tregalizumab	DB13073
Macimorelin	DB13074
Roluperidone	DB13080
Nefiracetam	DB13082
Talarozole	DB13083
Pyritinol	DB13084
Riamet	DB13085
SCYX-7158	DB13086
Enoxolone	DB13089
Tiropramide	DB13091
Meclocycline	DB13092
Pruvanserin	DB13094
Gacyclidine	DB13096
Valnoctamide	DB13099
Biguanide	DB13100
Mephedrone	DB13108
Antimony	DB13110
Amitriptylinoxide	DB13114
Saroglitazar	DB13115
1,1,1,2-Tetrafluoroethane	DB13116
Pentafluoropropane	DB13117
Troxerutin	DB13124
Lusutrombopag	DB13125
Olokizumab	DB13127
Sizofiran	DB13128
Trimegestone	DB13129
Serrapeptase	DB13131
Artemisinin	DB13132
Fluorine-18	DB13134
Fluindione	DB13136
Levalbuterol	DB13139
Bezlotoxumab	DB13140
Calcium_glubionate	DB13142
Methallenestril	DB13143
Lenograstim	DB13144
Nedaplatin	DB13145
Fluciclovine	DB13146
Pancreatic_lipase_family	DB13147
Bisabolol	DB13153
Aesculin	DB13155
Inosine_pranobex	DB13156
Clobetasone	DB13158
Prodine	DB13160
Nusinersen	DB13161
Terpin_hydrate	DB13163
Olmutinib	DB13164
Ripasudil	DB13165
Zofenopril	DB13166
Alclofenac	DB13167
Omega-6_fatty_acid	DB13168
Plecanatide	DB13170
Tunicamycin	DB13172
Cerliponase_alfa	DB13173
Rhein_(molecule)	DB13174
Inositol	DB13178
Troleandomycin	DB13179
Gluconic_acid	DB13180
Daidzein	DB13182
Oxabolone_cipionate	DB13185
Phosphocreatine	DB13191
Horse_chestnut	DB13195
Valerian	DB13196
Kallidinogenase	DB13197
Pepsin	DB13198
Brinase	DB13199
Piprozolin	DB13202
Bamifylline	DB13203
Dimethyl_carbate	DB13204
Teclozan	DB13205
Bamethan	DB13206
Arginine_glutamate	DB13207
Prednylidene	DB13208
Bismuth_oxynitrate	DB13209
Sodium_chlorite	DB13210
Guanoxan	DB13211
Phenol_red	DB13212
Butaperazine	DB13213
Sulfadicramide	DB13214
Bromsulphthalein	DB13215
Oxolamine	DB13216
Fentiazac	DB13217
Mandelic_acid	DB13218
Medifoxamine	DB13219
Apronal	DB13221
Tilbroquinol	DB13222
Fluocortin	DB13223
Piperidione	DB13224
Dibenzepin	DB13225
Acetylleucine	DB13226
Tribenoside	DB13227
Flosequinan	DB13228
Narcobarbital	DB13229
Gestronol	DB13230
Calcium_lactate	DB13231
Suxibuzone	DB13232
Alaproclate	DB13233
Propanidid	DB13234
Sodium_perborate	DB13235
Stibophen	DB13236
Clofoctol	DB13237
Tuaminoheptane	DB13238
Neltenexine	DB13239
Cymarin	DB13240
Bucladesine	DB13242
Tiazofurin	DB13243
Aminomethylbenzoic_acid	DB13244
Thiram	DB13245
Quinupramine	DB13246
Pramiracetam	DB13247
Phthalylsulfathiazole	DB13248
Octopamine	DB13251
Tropatepine	DB13252
Proxibarbital	DB13253
Propatylnitrate	DB13255
Clotiapine	DB13256
Iron(II)_sulfate	DB13257
Etofamide	DB13258
Chloroethane	DB13259
Lysozyme	DB13260
Sitafloxacin	DB13261
Aceclidine	DB13262
Quassia	DB13263
Penimepicycline	DB13264
Hexobendine	DB13265
Cefatrizine	DB13266
Ritiometan	DB13267
Acetarsol	DB13268
2,4-Dichlorobenzyl_alcohol	DB13269
Dibekacin	DB13270
Meladrazine	DB13272
Sultopride	DB13273
Micronomicin	DB13274
Clorindione	DB13275
Idanpramine	DB13276
Benziodarone	DB13277
Bucetin	DB13278
Carbocromen	DB13279
Aluminium_acetoacetate	DB13280
Bromelains	DB13281
Benzododecinium_bromide	DB13282
Sulfisomidine	DB13283
Meticrane	DB13284
Etilamfetamine	DB13285
Bumadizone	DB13286
Miocamycin	DB13287
Tromantadine	DB13288
Rimazolium	DB13289
Olaflur	DB13290
Cloridarol	DB13291
Pimethixene	DB13292
Ipecacuanha	DB13293
Azidamfenicol	DB13294
Propamidine	DB13296
Idrocilamide	DB13297
Alsactide	DB13298
Sulglicotide	DB13299
Epicillin	DB13300
Hachimycin	DB13302
Febarbamate	DB13303
Triaziquone	DB13304
Tolpropamine	DB13305
Chlorquinaldol	DB13306
Proscillaridin	DB13307
Oxametacin	DB13308
Benproperine	DB13309
Ormeloxifene	DB13310
Trepibutone	DB13311
Delapril	DB13312
Melevodopa	DB13313
Alminoprofen	DB13314
Sobrerol	DB13315
Ibopamine	DB13316
Flunoxaprofen	DB13317
Demecolcine	DB13318
Propenidazole	DB13319
Sulfaperin	DB13320
Methiodal	DB13321
Hydrotalcite	DB13322
Trichloroethylene	DB13323
Tetrazepam	DB13324
Nifurzide	DB13325
Euflavine	DB13326
Picotamide	DB13327
Butanilicaine	DB13328
Amezinium_metilsulfate	DB13330
Pyrithyldione	DB13331
Efloxate	DB13333
Mannosulfan	DB13334
Pinazepam	DB13335
Dimethyl_phthalate	DB13336
Pheneticillin	DB13337
Flurithromycin	DB13338
Etoglucid	DB13339
Suloctidil	DB13340
Fenozolone	DB13341
Cinepazet	DB13342
Tioxolone	DB13343
Mercuric_amidochloride	DB13344
Dihydroergocristine	DB13345
Bufexamac	DB13346
Diphenadione	DB13347
Tiadenol	DB13348
Talastine	DB13349
Azanidazole	DB13350
Piperidolate	DB13351
Dimethylethanolamine	DB13352
Viminol	DB13353
Phenprobamate	DB13354
Visnadine	DB13355
Mesulfen	DB13356
Styramate	DB13357
Cibenzoline	DB13358
Magnesium_aspartate	DB13359
Tolciclate	DB13360
Trimethyldiphenylpropylamine	DB13361
Pheneturide	DB13362
Oxaceprol	DB13363
Feprazone	DB13364
Calcium_lactate_gluconate	DB13365
Hydrochloric_acid	DB13366
Cloricromen	DB13367
Motretinide	DB13368
Benzilone	DB13369
Bromisoval	DB13370
Difenpiramide	DB13371
Calcium_alginate	DB13372
Acriflavinium_chloride	DB13373
Vincamine	DB13374
Edrecolomab	DB13375
Succinimide	DB13376
Vinbarbital	DB13377
Norfenefrine	DB13378
Chiniofon	DB13379
Difemerine	DB13380
Chlorproethazine	DB13382
Diiodohydroxypropane	DB13383
Melitracen	DB13384
Dihydroergocryptine	DB13385
Epimestrol	DB13386
Haematin	DB13387
Phenylmercuric_nitrate	DB13388
Iopydol	DB13389
Levoverbenone	DB13391
Merbromin	DB13392
Emetine	DB13393
Adrenalone	DB13394
Eprozinol	DB13395
Neocitrullamon	DB13396
Prenoxdiazine	DB13397
Oxyfedrine	DB13398
Terguride	DB13399
Linsidomine	DB13400
Metildigoxin	DB13401
Acetylglycinamide_chloral_hydrate	DB13402
Oxypertine	DB13403
Ethylenediaminetetraacetic_acid	DB13404;DB14600
Mefruside	DB13405
Carbutamide	DB13406
Nifenazone	DB13407
Rokitamycin	DB13409
Guanoxabenz	DB13410
Lofepramine	DB13411
Pirisudanol	DB13412
Phenglutarimide	DB13413
Fenyramidol	DB13414
Pentylenetetrazol	DB13415
Sulbutiamine	DB13416
Morinamide	DB13417
Moxestrol	DB13418
Troxipide	DB13419
Thiazinamium_metilsulfate	DB13420
Edoxudine	DB13421
Nicofuranose	DB13422
Iron(III)_oxide-hydroxide	DB13423
DDT	DB13424
Flutrimazole	DB13425
Iobenzamic_acid	DB13428
Tolonidine	DB13429
Mebutizide	DB13430
Proglumide	DB13431
Lonazolac	DB13432
Simfibrate	DB13433
Fenticonazole	DB13434
Endralazine	DB13435
Droxypropine	DB13436
Medazepam	DB13437
Prolintane	DB13438
Fenpiprane	DB13439
Niceritrol	DB13441
Citiolone	DB13442
Ioxitalamic_acid	DB13444
Nepinalone	DB13445
Guar_gum	DB13446
Prethcamide	DB13447
Mazaticol	DB13448
Proxyphylline	DB13449
Tioclomarol	DB13451
Cadralazine	DB13452
Xenon	DB13453
Nicomorphine	DB13454
Phenibut	DB13455
Midecamycin	DB13456
Oxaflozane	DB13457
Thebacon	DB13458
Pecilocin	DB13459
Ronifibrate	DB13460
Cefcapene	DB13461
Bephenium_hydroxynaphthoate	DB13462
Oxetorone	DB13463
Ornipressin	DB13464
Ciclobendazole	DB13465
Deptropine	DB13466
Lanatoside_C	DB13467
Etybenzatropine	DB13468
Phanquinone	DB13469
Cefodizime	DB13470
Nalfurafine	DB13471
Cyclofenil	DB13472
Antimony_pentasulfide	DB13473
Tipepidine	DB13474
Diisopromine	DB13476
Sodium_apolate	DB13477
Meptazinol	DB13478
Histapyrrodine	DB13479
Lentinan	DB13480
Tenidap	DB13481
Dimefline	DB13482
Etamsylate	DB13483
Quinbolone	DB13484
Sulfametomidine	DB13485
Magnesium_peroxide	DB13486
Bencyclane	DB13488
Bamipine	DB13489
Hidrosmin	DB13490
Fluperolone	DB13491
Policresulen	DB13492
Cyclobutyrol	DB13493
Dimetofrine	DB13494
Paraoxon	DB13495
Iprindole	DB13496
Cefsulodin	DB13499
Otilonium	DB13500
Bendazac	DB13501
Budipine	DB13502
Tyrothricin	DB13503
Cefetamet	DB13504
Emepronium_bromide	DB13505
Carfecillin	DB13506
Poldine	DB13507
Cloranolol	DB13508
Aloxiprin	DB13509
Buflomedil	DB13510
Clebopride	DB13511
Clefamide	DB13512
Tribromometacresol	DB13513
Pranoprofen	DB13514
Levomethadone	DB13515
Chlordantoin	DB13516
Angiotensinamide	DB13517
Alginic_acid	DB13518
Cerium_oxalate	DB13519
Metergoline	DB13520
Alipogene_tiparvovec	DB13521
Mebicar	DB13522
Veralipride	DB13523
Propyphenazone	DB13524
Althea_root	DB13525
Proglumetacin	DB13527
Chlormadinone	DB13528
Dobesilic_acid	DB13529
Mepindolol	DB13530
Cyclopenthiazide	DB13532
Normethandrone	DB13533
Gedocarnil	DB13534
Nebacumab	DB13535
Broxyquinoline	DB13536
Gitoformate	DB13537
Guacetisal	DB13538
Iodoxamic_acid	DB13539
Isepamicin	DB13540
Iprazochrome	DB13541
Bevonium	DB13542
Mitobronitol	DB13543
Ethenzamide	DB13544
Isobromindione	DB13545
Nizofenone	DB13546
Sulfatolamide	DB13547
Dibrompropamidine	DB13548
4-Dimethylaminophenol	DB13549
Bifemelane	DB13550
Cinchophen	DB13551
Trifluperidol	DB13552
Carumonam	DB13553
Moperone	DB13554
Prajmaline	DB13555
Sulfamazone	DB13556
Thiopropazate	DB13557
Morclofone	DB13558
Rimiterol	DB13559
Dextranomer	DB13560
Clobenzorex	DB13561
Norgestrienone	DB13563
Zipeprol	DB13564
Desaspidin	DB13567
Diodone	DB13568
Iron(II)_chloride	DB13569
Oxidized_cellulose	DB13570
Pentamycin	DB13571
Emylcamate	DB13572
Acefylline	DB13573
Heptaminol	DB13574
Bietaserpine	DB13575
Aluminium_nicotinate	DB13576
Allobarbital	DB13577
Metabutethamine	DB13578
Mepixanox	DB13579
Succinylsulfathiazole	DB13580
Rociverine	DB13581
Mephenesin	DB13583
Metandienone	DB13586
Mesterolone	DB13587
Naftidrofuryl	DB13588
Calcium_pangamate	DB13590
Metopimazine	DB13591
Etamiphylline	DB13592
Zolimidine	DB13593
Almasilate	DB13595
Oxycinchophen	DB13596
Moroxydine	DB13597
Diethyl_ether	DB13598
Difetarsone	DB13599
Deltamethrin	DB13600
Oxiracetam	DB13601
Promegestone	DB13602
Pyrrolnitrin	DB13603
Guanazodine	DB13604
Phenoperidine	DB13605
Phenazocine	DB13606
Picloxydine	DB13607
Thiocarlide	DB13608
Umifenovir	DB13609
Flumedroxone	DB13610
Chlormidazole	DB13611
Carbasalate_calcium	DB13612
Ticlatone	DB13613
Metizoline	DB13614
Mifamurtide	DB13615
Clorexolone	DB13617
Ipriflavone	DB13618
Bornaprine	DB13619
Potassium_gluconate	DB13620
Tetragalacturonic_acid_hydroxymethylester	DB13621
Fabomotizole	DB13623
Methoxyphenamine	DB13624
Carbuterol	DB13625
Aluminium_glycinate	DB13626
Oxolinic_acid	DB13627
Ethylparaben	DB13628
Mofebutazone	DB13629
Methoserpidine	DB13631
Protiofate	DB13632
Mepartricin	DB13633
Pentifylline	DB13634
Tiracizine	DB13635
Etanautine	DB13636
Tenitramine	DB13637
Cefbuperazone	DB13638
Ferrous_tartrate	DB13639
Acetoxolone	DB13640
Metisazone	DB13641
Pridinol	DB13642
Loprazolam	DB13643
Methylthiouracil	DB13644
Ethacizine	DB13645
Saruplase	DB13646
Semustine	DB13647
Alcuronium_chloride	DB13648
Proquazone	DB13649
Aloglutamol	DB13650
Lorajmine	DB13651
Bunaftine	DB13652
Lorcainide	DB13653
Montmorillonite	DB13654
Nikethamide	DB13655
Eberconazole	DB13656
Benorilate	DB13657
Tenonitrozole	DB13659
Propicillin	DB13660
Niridazole	DB13661
Hexapropymate	DB13662
Clofenamide	DB13663
Formocortal	DB13664
Fluanisone	DB13665
Tiemonium_iodide	DB13666
Cefozopran	DB13667
Ipidacrine	DB13668
Morpholine	DB13669
Oxantel	DB13670
Sulbentine	DB13671
Dimethylaminopropionylphenothiazine	DB13672
Bekanamycin	DB13673
Metahexamide	DB13675
Mosapramine	DB13676
Carboquone	DB13677
Dihexyverine	DB13678
Butalamine	DB13681
Cefpirome	DB13682
Quinisocaine	DB13683
Omoconazole	DB13684
Quingestanol	DB13685
Clometocillin	DB13686
Niaprazine	DB13687
Drisapersen	DB13688
Tacalcitol	DB13689
Vinyl_ether	DB13690
%CE%91-Acetyldigoxin	DB13691
Tretoquinol	DB13692
Sulbenicillin	DB13693
Distigmine	DB13694
Penthienate	DB13695
Bromochlorosalicylanilide	DB13696
Ambazone	DB13697
Siderite	DB13698
Sulfathiourea	DB13699
Protamine	DB13700
Ioglicic_acid	DB13701
Tibezonium_iodide	DB13702
Gepefrine	DB13703
Pristinamycin	DB13704
Eosin	DB13706
Sodium_tartrate	DB13707
Fenquizone	DB13708
Ciclonicate	DB13709
Metenolone	DB13710
Tritoqualine	DB13711
Dixanthogen	DB13712
Quifenadine	DB13713
Xibornol	DB13714
Dilazep	DB13715
Dibutyl_phthalate	DB13716
Phenothrin	DB13717
Trolnitrate	DB13719
Diphemanil_metilsulfate	DB13720
Cypermethrin	DB13721
Pirprofen	DB13722
Meldonium	DB13723
Nifuratel	DB13724
Terodiline	DB13725
Sulfaguanidine	DB13726
Azapetine	DB13727
Halometasone	DB13728
Camostat	DB13729
Nifurtoinol	DB13730
Butamirate	DB13731
Meglumine_antimoniate	DB13732
Methylpentynol	DB13733
Biphenylol	DB13734
Guaiacolsulfonate	DB13735
Fenoxazoline	DB13736
Cyclobarbital	DB13737
Camylofin	DB13738
Penamecillin	DB13739
Bemegride	DB13740
Ioglycamic_acid	DB13741
Elcatonin	DB13742
Piromidic_acid	DB13744
Fazadinium_bromide	DB13745
Bioallethrin	DB13746
Triethanolamine	DB13747
Tidiacic	DB13748
Magnesium_gluconate	DB13749
Obidoxime	DB13750
Glycyrrhizin	DB13751
Tetramethrin	DB13752
Cetiedil	DB13753
Mephenoxalone	DB13754
Iocarmic_acid	DB13755
Peruvoside	DB13756
Epanolol	DB13757
Meclofenoxate	DB13758
Fenpiverinium	DB13759
Niperotidine	DB13760
Aurotioprol	DB13763
Monoxerutin	DB13764
Mercury(II)_chloride	DB13765
Lidoflazine	DB13766
Vorozole	DB13767
Domiodol	DB13768
Vinylbital	DB13770
Rufloxacin	DB13772
Sulfamethoxypyridazine	DB13773
Tertatolol	DB13775
Ibacitabine	DB13776
Prenalterol	DB13777
Cefazedone	DB13778
Guanoclor	DB13779
Aluminium_clofibrate	DB13780
Xamoterol	DB13781
Imipraminoxide	DB13782
Acemetacin	DB13783
Dixyrazine	DB13784
Dropropizine	DB13785
Magnesium_orotate	DB13786
Tilidine	DB13787
Chlorbenzoxamine	DB13788
Aluminium_acetotartrate	DB13789
Fipexide	DB13790
Penfluridol	DB13791
Clopamide	DB13792
Vinburnine	DB13793
Dimethoxanate	DB13794
Brodimoprim	DB13795
Dibunate	DB13796
Iodocholesterol	DB13797
Demoxytocin	DB13798
Ethadione	DB13799
Muzolimine	DB13801
Epomediol	DB13802
Xipamide	DB13803
Benzylthiouracil	DB13804
Reposal	DB13805
Linopirdine	DB13806
Tisopurine	DB13807
Mebhydrolin	DB13808
Dimemorfan	DB13810
Oblimersen	DB13811
Ambuphylline	DB13812
Iodoform	DB13813
Talampicillin	DB13814
Carbromal	DB13817
Bibrocathol	DB13818
Proxazole	DB13819
Oxomemazine	DB13820
Ceftezole	DB13821
Meprotixol	DB13822
Pipemidic_acid	DB13823
Enprostil	DB13824
Fedrilate	DB13825
Etohexadiol	DB13826
Cyfluthrin	DB13828
Calcium_silicate	DB13829
Copper_usnate	DB13830
Potassium_permanganate	DB13831
Ranimustine	DB13832
Methylatropine	DB13833
Phenylmercuric_borate	DB13834
Caroverine	DB13835
Metampicillin	DB13836
Doxefazepam	DB13837
Noxytiolin	DB13838
Dipyrocetyl	DB13839
Hydroxyethylpromethazine	DB13840
Clopenthixol	DB13841
Etofylline_nicotinate	DB13842
Cloprednol	DB13843
Pipenzolate_bromide	DB13844
Etafenone	DB13845
Pyrrobutamine	DB13846
Fluorodopa	DB13848
Clofibride	DB13849
Timepidium	DB13850
Artemotil	DB13851
Mefenorex	DB13852
Anethole_trithione	DB13853
Gamma-Linolenic_acid	DB13854
Nifuroxazide	DB13855
Fluclorolone	DB13856
Demegestone	DB13857
Dimazole	DB13858
Imidazole_salicylate	DB13860
Iopentol	DB13861
Magnesium_phosphate	DB13862
Dehydroemetine	DB13865
Etynodiol	DB13866
Fluticasone	DB13867
Lormetazepam	DB13872
Enasidenib	DB13874
Harmaline	DB13875
Brofaromine	DB13876
Iniparib	DB13877
Pibrentasvir	DB13878
Glecaprevir	DB13879
Tisagenlecleucel	DB13881
Talimogene_laherparepvec	DB13896
Fusarium_graminearum	DB13907
Amylmetacresol	DB13908
Bismuth_subgallate	DB13909
Phloxine	DB13911
Coumermycin_A1	DB13912
Belladonna	DB13913
Volixibat	DB13914
Axicabtagene_ciloleucel	DB13915
Deoxyepinephrine	DB13917
Emicizumab	DB13923
Cenegermin	DB13926
Semaglutide	DB13928
Relcovaptan	DB13929
Netarsudil	DB13931
Voretigene_neparvovec	DB13932
LGD-4033	DB13934
AC-262,536	DB13935
LGD-3303	DB13937
S-40503	DB13938
RAD140	DB13939
Piperaquine	DB13941
Testosterone_cypionate	DB13943
Testosterone_enanthate	DB13944
Testosterone_undecanoate	DB13946
Testosterone_enantate_benzilic_acid_hydrazone	DB13947
25CN-NBOH	DB13948
WIN_55,212-2	DB13950
Dihydrotestosterone_acetate	DB13951
Estradiol_acetate	DB13952
Estradiol_benzoate	DB13953
Estradiol_cypionate	DB13954
Estradiol_dienanthate	DB13955
Estradiol_valerate	DB13956
J147	DB13957
Trestolone_acetate	DB13958
Medium-chain_triglycerides	DB13959
Bronopol	DB13960
Fish_oil	DB13961
1,2-Dichlorobenzene	DB13963
Peanut_oil	DB13964
Isopropyl_myristate	DB13966
Patent_Blue_V	DB13967
Vanadium	DB13971
Prochymal	DB13973
Passiflora_incarnata	DB13974
Actaea_racemosa	DB13975
Sulesomab	DB13976
Potassium_carbonate	DB13977
Besilesomab	DB13979
Copper-64	DB13980
Nomegestrol_acetate	DB13981
Cyclopropane	DB13984
SB-269970	DB13988
Epitizide	DB13989
