K16197	P31946;P27348;P63104;D0PNI1;V9HWD6
K08630	Q8TE57;Q2XQZ0
K08631	Q8TE56
K08632	Q8TE60;Q6ZN25;Q2VYF7
K08633	Q8TE59;A0A1X7SBR9
K08617	Q9UHI8;B2RB33
K09609	P59510
K08618	O95450
K08619	O15072;Q96AY5;B7Z2U9
K07764	O75173
K08620	Q9UNA0
K08621	Q9UKP5;Q5IR90
K08622	Q9UKP4;Q9UFZ4
K08623	Q9UP79;Q5FWF1
K08624	Q9P2N4
K00815	P17735;A0A140VKB7
K19323	Q9UBB4
K23616	P0C7T5;P54253;Q96FF1
K23625	Q8WWM7;Q99700
K11863	Q9H3M9;P54252;B4DYC7
K05607	Q13825
K16800	Q9H7T9
K19716	Q9Y679
K11481	O14965
K11479	Q96GD4
K11480	Q9UQB9
K23214	Q8WXX7
K09526	O75061
K08017	O75366
K04670	P27037
K13596	Q13705
K11171	Q58HT5
K11156	Q6E213
K02157	O15169;A0A0S2Z4R0
K04385	Q9Y2T1
K12651	Q9H6S1
K01583	Q96A70
K04570	Q07817;A0A0S2Z3C5
K02163	Q92843
K18451	Q9HD36
K16341	O43521
K15485	Q9BXK5
K02162	Q16548
K08055	P61769
K13855	P04920;Q59GF1
K13856	P48751
K13860	Q96Q91
K06573	P02730
K00735	Q9P2W7
K10157	Q9NPZ5
K10158	O94766
K00719	O75752;Q49AT3;Q8TDY1
K09654	Q8NCR0
K13675	Q6Y288
K00741	Q9NY97
K07970	Q9Y2A9
K07971	Q9C0J1;A0A024RBT1
K03766	Q9BYG0
K00739	Q6ZMB0;A8K9Q8
K09664	Q8NFL0
K09665	Q7Z7M8
K18705	Q6UX72
K07819	Q9Y5Z6
K07820	O43825
K00715	O96024;Q5STJ7;B3KQP5
K03877	Q9Y2C3
K00734	Q96L58
K21032	O43505;A0A024R5F9
K00725	Q00973;B4DSP5
K09655	Q8NHY0
K09656	Q6L9W6;Q8N9V0
K09657	Q76KP1
K07966	P15291
K07967	O60909
K07968	O60512;A8K5Z0;A0A384NY44
K07969	O60513;B2RAZ5;B3KM35
K09905	O43286
K07553	Q9UBX8
K00733	Q9UBV7
K16744	Q9UPM9;B4DEW0
K16745	Q9BPU9
K00659	Q14032
K20776	Q9NWV8;A0A024R7L2
K12173	Q9NXR7
K15074	Q8WZ19;Q13829;Q9H3F6;A0A024RBJ2
K04521	P56817;A0A024R3D7
K07747	Q9Y5Z0
K09042	O14867;Q9BYV9
K17360	O00154
K02158	Q92934;A0A024R562
K21870	O75531;A0A024R5H0
K09555	Q99933
K09556	O95816
K09557	O95817
K09558	O95429
K09559	Q9UL15;A0A024R6M6
K23390	P46379
K05627	Q9UQB8
K15621	O94812
K17889	Q6ZNE5
K14021	Q16611;A0A0S2Z391
K10162	Q13145
K23406	Q8IXM2
K08588	Q92560;A0A024R305
K14009	P51572
K10683	Q99728;A0AVN2
K09360	Q9BZE3;Q9NY43
K09361	Q9HBU1;Q9UMQ3
K06535	P35613
K17272	P80723
K13868	P82251
K09034	Q8N1L9;Q9NR55;Q16520
K02159	Q07812
K11655	Q9NRL2
K11658	Q9UIG0
K15224	Q9UIF9
K10132	Q96PG8;Q9BXH1
K19399	A8MTZ0
K19401	Q8TAM1
K19402	Q6ZW61
K16746	Q8NFJ9
K16747	Q9BXC9
K16531	Q96RK4;A0A0S2Z3A9
K16748	Q8N3I7;A0A0S2Z626
K16749	Q8IWZ6
K21643	Q8WY36;A8K6U2
K22045	Q9H165
K22046	Q9C0K0;L8B7P7
K06578	P50895
K12230	Q6ZUJ8;Q86YV3
K05726	P56945
K23688	O75815;A0A384MTS3
K08366	Q8TDM0;Q9NUP1
K00826	P54687;O15382;A0A024RAV0
K15262	Q9P287
K00515	Q9HAY6
K10252	Q9BYV7;B2RCV8
K00905	O14874;A0A024QZA9
K07368	O95999
K02161	P10415;A0A024R2B3
K09258	P20749
K22648	Q8N143;A8KA13
K15618	P41182
K22649	Q86UU0;O00512;A0A024QYY4;Q1JQ81
K13087	Q9NYF8
K23215	Q6W2J9
K08878	P11274
K08900	Q9Y276;A0A024R445
K00019	Q9BUT1;Q02338;A0A384MTY4
K04355	P23560;A0A0E3SU01
K15198	A6H8Y1
K19324	Q3B7T3
K08334	Q14457;A8MW95;A0A024R1X5
K13878	O76090
K13879	Q8NFU1
K13880	Q8N1M1
K13881	Q8NFU0
K08504	Q9NYM9;O15155;Q53XK0
K12465	Q00994
K15684	Q9NZS9
K10378	Q12934
K10379	Q13515
K12309	P16278
K00709	P16442;A0A089QDC1
K19519	Q15582;A0A0S2Z4Q2
K01195	P08236
K08040	Q7RTS1
K09086	Q8NFJ8;Q8NDY6;A0A087WXG3;B4DF88
K03729	O14503;Q6IB83
K03730	Q9C0J9;Q8TAT1;A0A024RAV8
K00544	Q93088;V9HWA4
K00547	Q9H2M3;A0A024RAQ0
K21889	P55061;A0A024R0Z5
K20127	Q9UHR4
K23645	Q6UXY1
K18756	Q9H694
K18739	Q96G01;Q8TD16;Q96FU2
K16756	Q6ZP65;A1A5D9
K04726	P55957;A8ASI8;B3KT21
K00214	P53004;A0A140VJF4
K18442	Q9Y6D6;Q9Y6D5;A0A024R7X0;Q59FR3;Q86TH5
K17572	Q5TH69
K18452	Q13323;A0A024R4X6
K20119	Q9UBW5;A0A087X188
K20120	Q9NQY0
K09490	P11021;V9HWB4
K12807	Q13075
K16060	Q13490;Q13489
K08731	O15392;A0A0B4J1S3
K10586	Q9NR09
K16061	Q96CA5
K03915	P46663
K03916	P30411
K20185	P78537
K16750	Q6QNY1;F1T0F0
K20186	Q6QNY0
K20187	Q8TDH9
K20188	Q9UL45;B3KY40
K08890	P51451;Q05D26
K01372	Q13867
K10901	P54132
K07371	Q8WV28
K05901	P30043;V9HWI1
K02296	O00327;B2RCL8
K09099	Q8WYA1
K17460	Q96LC9
K11459	P35226;R4GMX3
K22670	O95393
K05498	O95972
K05502	P13497
K08854	Q9NSY1
K21283	P12643;C8C060
K05496	P12645
K04662	P12644;Q53XC5
K04663	P22003;M9VUD0;A8K694
K16620	P22004;Q4VBA3;B4DUF7
K16621	P18075;A8K571
K16622	Q7Z5Y6;P34820
K04671	Q13873
K04673	P36894
K13578	O00238
K14569	Q14692
K08896	P51813
K15465	O60238;Q6IBV1
K18448	Q12982;Q7Z465;J3KN59
K15464	Q12983;Q6NVY4
K20020	Q9BWV1
K00471	O75936
K02561	Q9UMX3;A0A024R4A8
K22066	Q9Y3E2
K22075	Q53S33
K14824	Q14137
K16831	Q6PGQ7;A0A087WV86
K20819	Q969J3
K20820	Q96GS4
K20821	Q96B45;A0A0B4J1R7
K20822	Q96FH0
K11514	Q53HL2
K18399	Q86WA6;Q49AI2
K01942	P50747
K01082	O95861;V9HWF9
K11728	Q12830
K04365	P15056
K10632	Q7Z569;Q59H81
K23112	Q6PJG6
K10605	P38398
K08775	P51587
K11864	P46736
K11349	O95696;A0A024R4W4;Q59G93
K08871	P25440;A0A024RCR5
K11721	Q15059;A0A024R8H6
K11722	O60885
K11723	Q9NPI1
K11321	Q9H0E9
K22184	Q9H8M2
K11724	Q58F21
K10696	Q5VTR2;O75150
K15197	Q9HAW0
K05752	Q8WUW1
K19196	Q5PSV4;Q9HCU9
K11348	P55201
K11350	Q9ULD4
K04170	P32247
K08796	Q8TDC3;Q8IWQ3
K11798	Q9NSI6;Q6RI45
K14820	Q8TDN6
K19365	Q96G97;A0A024R549
K19331	Q8WZ55;Q5VU50
K09626	Q9GZN4
K18152	Q10588
K06731	Q10589;A0A024R7H5
K06712	Q13410;Q7KYR7;Q8WVV5;O00481;P78410;O00478;Q6UXE8;Q6UX41;Q6UXG8;Q96PL5;A0A1C9HIH9;A0A024R038;A0A024R042;Q8N324;Q4VAN2
K01527	Q96K17;P20290
K15192	O14981;Q2M1V9;Q8N6J1
K10477	Q9H0C5;Q9BX70;A0A024R224
K10478	Q9Y2F9;Q96KE9;A0A384NYR4
K10479	Q9P203
K10481	Q96Q07
K10482	Q9BSF8;D3DQW7
K10483	A6QL63;B3KVD0;B3KXB0
K10487	Q32M84
K09783	P35070;A0A0S2Z437
K01435	P43251
K14443	P62324;P78543;Q14201;Q9NY30;P50616;Q14106;Q6IBC8;Q6IAU3
K07370	Q06187;Q5JY90
K06707	Q7Z6A9
K06637	O60566
K02178	O43683
K02180	O43684
K13106	Q9BRD0
K19306	O43709
K12873	P41223
K01431	Q9UBR1;A0A024R1H3;B3KNC1
K06542	O95971;Q6FH89
K14797	Q13895
K16759	Q96A19
K00497	P15538;Q8TDD0
K07433	P19099
K06545	Q86VB7;Q9NR16
K16463	Q9Y4F5;Q5SW79
K12592	Q13901
K09653	Q96EU7
K00731	Q9NS00;A0A024RA32
K03986	P02745;A0A024RAG6
K15414	Q07021
K03987	P02746;A0A024RAB9
K03988	P02747;A0A024RAA7
K23284	Q7Z5L3;Q5VWW1;Q86Z23;O75973;A0A3B0J0F3;A0A3B0IND4;A0A3B0INP7
K06702	Q9NPY3
K19470	Q9BXI9;A0A024R1J0
K01330	P00736
K01331	P09871
K00288	P11586;A0A384N5Y3
K13402	Q6UB35
K17951	Q4G0S4
K16751	Q4AC94
K18260	Q6P1N0;Q5T0F9
K19352	Q9P2K1
K08060	P33076;Q66X48;A0A0B4J1S1
K04009	Q16581;A8K2H7
K04002	P04003
K04003	P20851
K00236	Q99643;A0A0S2Z4B7
K08371	O14569;A0A024R342
K04010	P21730
K04171	Q9P296
K04858	P54289
K04859	Q9NY47
K04860	Q8IZS8
K04861	Q7Z3S7
K08272	Q9Y376;Q9H9S4;A0A024RDT3;A0A024R496
K19934	Q9BRK5;A0A024R084
K17613	Q9Y6J0;A0A024R1E5
K23531	Q9NZU7;Q9NPB3;P57796;Q9NP86
K23849	Q86V35;Q9BXU9;A4D1Z1
K04344	O00555
K04849	Q00975
K04850	Q13936;Q5V9X9;Q59GU3
K04851	Q01668;Q59GD8
K04852	Q15878;Q59FG1
K04853	O60840
K04854	O43497
K04855	O95180;B3KQH9
K04856	Q9P0X4
K04857	Q13698
K04862	Q02641
K04863	Q08289
K04864	P54284
K04865	O00305
K21348	Q13137
K06802	Q9Y6N8;X5D8X5
K06803	P55287
K06804	P55289
K06808	P55290
K06809	P55291
K06810	O75309
K06811	Q12864
K06805	Q13634
K06806	Q9H159
K06807	Q9HBT6;A8K2C5;Q8N9J3
K06812	Q9UJ99;A8K0L9
K06813	Q9H251;Q6P152
K06814	Q86UP0
K22658	Q8IXH8
K05689	P12830;A0A0U2ZQU7;B3GN61
K06736	P19022;A0A024RC42
K06796	P22223
K06797	P55283
K06533	P33151;Q59EA3
K06798	P55285
K06799	Q9ULB5
K06800	P55286
K06801	Q9ULB4
K06781	Q9BY67;X5D8W0
K06782	Q8N3J6
K06780	Q8N126
K06783	Q8NFZ8
K22073	Q5T440
K10750	Q13111
K10751	Q13112
K01672	O43570;Q8N1Q1;Q9ULX7;P00915;P07451;P35218;Q9Y2D0;P23280;P43166;P35219;Q16790;V9HWE3;A8K3J4;B4DUH8;V9HWA3;A0A024RBW9;A0A0S2Z3D0
K18245	P00918;V9HW21
K18246	P22748
K19738	Q8IU99
K19739	Q9HA72
K19740	Q86XJ0
K14757	P05937
K12332	P10092;P01258
K04576	P30988;A0A0C4DG16
K12327	Q05682
K02183	P27482;Q96GE6;Q9NZT1;Q8TD86;P0DP23;P0DP24;P0DP25;B4DJ51;Q53H37
K10098	Q96L12;A0A140VJF7
K04577	Q16602
K08057	P27797;V9HW88
K08054	P27824
K15493	Q9NYX4
K08812	Q8NCB2;A0A140VKD5
K22385	P49069
K17493	Q5T5Y3;Q08AD1;Q9P1Y5;A0A384NY94;B3KTI4
K13916	P49913;J3KNB4;A0A384NPR0
K08579	Q9HC96
K08580	Q9UMQ6
K04740	Q6ZSI9
K08581	Q6MZZ7
K13442	A8MX76;B7Z467
K08582	O75808
K01367	P07384;B2RDI5
K03853	P17655;Q59EF6
K08573	P20807
K08574	O15484;A0A140VKH4
K08575	Q9Y6Q1
K08576	Q9Y6W3;Q7Z479
K08577	A6NHC0
K08578	O14815;Q6PIV8
K06268	P63098;Q96LZ3;A0A494C014
K17263	Q86VP6
K12304	Q8WVQ1;A0A024R8U8
K17261	Q01518;P40123;D3DPU2;Q5JPJ8
K17584	Q9H4Z3
K10368	P40121;V9HW69;B2R9S4
K16513	O75052
K18743	Q14444
K18744	Q6IMN6
K19933	Q9ULU8;Q86UW7
K10365	P47756;Q7L4N0
K20912	Q9BWT7
K07367	Q9BXL7;A0A024R854;Q8TES3
K20913	Q9BXL6
K12806	Q5EG05;Q5XLA6;P57730
K12797	Q9BX69
K12801	Q9Y2G2
K12794	Q9H257;A0A024R8F1
K20493	Q5VZK9;Q6F5E8;Q8ND23
K05931	Q86X55
K19787	Q8N4J0
K21595	Q8N187
K17281	P47710
K17107	P05814;W5RWE1
K17580	Q6TDU7;B4E376
K14323	O15234
K03377	Q96PB1;Q8WZ77
K17282	P07498
K16832	Q14511;A0A024QZV9
K01370	P29466;A8K249
K02186	P42575;A0A0S2Z3H1
K02187	P42574
K04394	P49662
K04395	P51878
K04396	P55212
K04397	P55210
K04398	Q14790
K04399	P55211
K04400	Q92851
K04741	Q6UXS9
K04401	P31944;B2CIS9
K09313	Q13948;O14529
K23468	P31415
K23445	O14958
K04612	P41180
K23080	Q8WTX7
K23081	A6NHX0
K03781	P04040;A0A384P5Q0
K01363	P07858;A0A024R374
K01275	P53634
K01379	P07339;V9HWI3
K01382	P14091
K01373	Q9UBX1
K01319	P08311
K01366	P09668
K01371	P43235
K01365	P07711;A0A024R276
K01375	O60911;A0A024R141;B2R717
K01374	P43234
K01368	P25774
K08569	P56202
K08568	Q9UBR2
K06278	Q03135;Q2TNI1;Q59E85
K12958	P51636;Q53X57
K12959	P56539
K19387	Q6NZI2
K10364	P52907;P47755;Q96KX2;A4D0V4;A0A140VKF6
K22517	Q13191
K22518	Q9ULV8
K15714	Q8N7E2
K04707	P22681
K08779	P15085
K01298	P48052
K08780	P15088
K08637	Q9UI42;A4D1M3
K08781	Q8WXQ8;A4D1M2
K08782	Q8N4T0
K01291	P15086
K01300	Q96IY4
K23435	Q9UPW5
K23437	Q5U5Z8;Q8NEM8;A0A140VKH9
K23436	Q96MI9
K23438	Q8NDL9
K23439	Q5VU57
K07752	O75976
K01294	P16870;A0A384N679
K01296	P14384
K01292	P15169
K23009	Q8IVL8
K01302	Q9Y646;A0A024R9B8
K13022	Q66K79;A0A384MDV6
K04498	Q92793;Q09472;Q7Z6C1
K00079	P16152;A0A384NL53
K00084	O75828;V9HW40
K11539	Q8N4T8
K01697	P0DN79;P35520;Q9NTF0
K11585	P83916;Q6IBN6
K11451	Q14781
K11586	Q13185;A4D177
K11452	O00257;A0A0S2Z5B2
K11587	P45973;V9HWG0
K11453	O95503
K11454	O95931;A0A024R1Q2
K11455	Q9HC52
K23402	Q9Y3M2;A0A024R1L9
K23403	Q8NA61;A0A140VJV5
K23731	Q8IW40
K23732	Q96M63;Q8NA47
K23543	Q96NT0
K13115	P13994;B7Z1U2
K06639	Q9UNH5;O60729;Q59EF4
K23733	A5D8V7;B3KPH7
K12964	Q8NHW4;P13236;B7ZW36
K16758	Q15834
K19638	Q6UXH8
K12871	Q8WUD4
K16541	Q49A88
K16752	Q0P6D6
K23343	O60826;A0A024QZ03
K16753	Q96HJ3
K23729	Q9UFE4
K23730	Q4G0X9
K16755	Q9Y6R9
K16757	Q9BR77
K23693	A2IDD5
K14822	Q9H6F5
K16452	Q53HC0
K21626	O95273
K09288	Q16204;Q05CP8
K17561	Q9H0W5;G8IFA7
K04866	Q06432
K04867	Q9Y698
K04868	O60359
K04869	Q9UBN1;A0A024R8J8
K04870	Q9UF02
K04871	Q9BXT2
K04872	P62955
K04873	Q8WXS5
K16760	Q8TD31;Q769H0;Q2TB68
K01764	P53701;A0A024RBY9
K04194	P32238
K05226	P06307;Q6FG82
K16597	P51671;Q6I9T4
K16595	Q99616
K21092	Q16627
K05511	Q16663;P55773;A0A0B4J2E2
K21093	O15467
K21083	Q92583
K21094	P55774
K05512	Q99731;Q6IBD6
K05514	P22362
K14625	P78556
K16062	O00585
K21095	O00626
K21097	O00175
K13072	O15444
K21096	Q9Y258
K16598	Q9Y4X3;Q5VZ77
K05513	Q9NRJ3;A0N0Q3
K14624	P13500
K05408	P10147;P16619;A0N0R1
K12499	P13501;D0EI67
K05509	P80098
K16596	P80075
K06829	O00622;Q6FI18
K06827	P29279;Q5M8T4
K23571	P48745;A0A024R9J4
K22471	O95388
K23089	O76076
K23090	O95389;A0A384NYW3;I6L968
K06627	P78396;P20248
K05868	P14635
K21770	O95067
K21771	Q8WWL7
K15161	P24863;Q7Z4L3
K04503	P24385;Q6FI00
K10151	P30279
K10152	P30281
K06626	P24864;O96020;A0A024R9B0
K10289	P41002;Q59HD0
K10145	P51959
K10146	Q16589;A0A024RDC7
K06634	P51946
K23326	O75909;A0A024R6K1
K10861	P22674
K15188	O60563;O60583;B4DH21
K04185	P46092
K04176	P32246;Q5U003
K04177	P41597
K04178	P51677;Q8TDP5
K04179	P51679;A0N0Q1
K04180	P51681;Q38L21
K04181	P51684
K04182	P32248;A0N0Q0
K04183	P51685
K04184	P51686
K08373	O00421;B2R8C0
K16454	Q6IQ19
K04569	O14618
K06530	Q6YHK3
K08818	Q9UQ88;P21127
K04391	P08571
K06537	P48509;A0A024RCB3;Q6ZNZ0
K06547	Q13740
K06552	Q8N6Q3;A0A087WVM2
K06555	Q99467
K06465	P15391
K06448	P06126;P29016;P29017;P15813;P15812;A2RRL5
K06563	Q9NNX6;Q9H2X3;B2R907
K06466	P11836;A0A024R507
K06567	Q15762
K06467	P20273;Q0EAF5
K06582	Q9BZW8
K06706	Q9HCU0
K06469	P25063
K06746	Q5ZPR3
K05144	P26842
K06470	P10747
K13738	Q9Y5K6
K13099	O95400;A0A024QZC1
K06449	P06729;Q53F96
K06722	Q8IX05
K06734	Q9NPF0
K06473	P20138;Q546G0
K06474	P28906
K06259	P16671;A4D1B1
K06475	P11049
K01242	P28907;B4E006
K06719	A0A0K2S4Q6;Q496F6;Q08708;Q9UGN4;B4E0V9
K06450	P04234;B0YIY4
K06451	P07766
K06452	P09693;B0YIY5
K06453	P20963
K03161	P29965
K06256	P16070
K06266	Q08722
K06479	P09326
K06454	P01730;B4DT49;A0A4Y5UGE4
K06488	P31358;V9HWN9
K06489	P19397
K04008	P13987;Q6FHM9
K11716	Q15078;Q8N619
K19929	Q13319
K06455	P06127
K06497	P08962;A0A024RB05
K06501	P34810
K06502	Q07108;Q53ZX0
K06456	P30203;Q6AZ88;Q8N4Q7
K05470	P32970;A0A0U5JA32
K06504	P21854;Q5TLG3
K06506	P11912
K06507	P40259
K06457	P09564;Q29VG3
K05412	P33681;A0N0P2
K06508	P60033;A0A024RCB7
K06509	P27701
K06510	Q01151
K05413	P42081;A8K632
K06458	P01732;Q8TAW8;Q6ZVS2
K06459	P10966
K08446	P48960
K06520	P14209
K06460	P21926
K19531	Q8IWY9
K03353	Q13042;A0A024RDZ2
K03363	Q12834
K03355	Q9UJX2
K03359	Q8NHZ8;A0A024R832
K03350	P30260
K09554	Q16543;A0A024R7B7
K04393	P60953
K06628	O75419
K12860	Q99459
K02213	Q99741;A0A024R1S2
K15175	Q6P1J9
K02214	O00311;A0A384MTU6
K17590	Q69YH5;B7Z5Q5
K17390	Q96FF9;A0A024R5D6
K23408	Q9BWT1
K06732	Q9H5V8
K01489	P32320
K16501	Q96JP9;F1T0L2
K16502	Q9BYE9
K16503	Q6ZTQ4
K16504	A6H8M9
K16505	Q9HBB8;B4DV98
K00999	O14735;A8K3L7
K02449	Q15131;B7Z537
K08819	Q9NYV4;Q14004;A0A024RA85;Q9BVE2
K08821	O94921
K15594	Q96Q40
K08820	Q00536;Q9BRL4;A0A140VK97
K15595	Q00537
K15596	Q07002;A0A024R996;Q59G02
K02208	Q9BWU1;P49336
K02087	P06493
K08817	Q8IZL9
K02206	P24941;A0A024RB77
K02088	Q00526
K02089	P11802;A0A024RBB6
K02090	Q00535;A0A090N7W4
K02091	Q00534
K02202	P50613;A0A0S2Z3F9
K02211	P50750;A0A024R880
K15865	Q5VV42
K08824	Q00532;Q92772;Q8IVW4;Q5MAI5;O76039;B4DH08;A0A140VJG1
K14167	Q16667
K06625	P38936;A0A024RCX5
K06624	P46527;Q6I9V6
K09993	P49918
K06621	P42771;K7PML8
K04685	P42772;K7PPU3
K06622	P42773;Q6ICV4
K06623	P55273;A0A024R796
K00456	Q16878
K20033	Q4KMG0
K10266	O95170;Q5XX13;Q59EB2
K00981	Q92903;O95674;A0A024RDG8
K23457	Q15517;G8JLG2
K10727	Q9H211
K09312	P47902;O14627
K22234	Q99626
K00653	Q9Y6F8;Q9Y6F7;Q8N8U2;Q9Y232
K16458	O60308
K16767	Q8N8E3
K16459	Q8N960;B4DLH5
K16460	Q6ZU80;Q86TS1
K16728	O94986;Q3B7A2
K16809	Q5TB80
K16462	Q9UPV0
K16725	Q8TEP8;Q9HCK3
K16533	O15078;Q05BJ6
K16768	Q5VT06
K16762	Q8IYX8;Q86XR8
K16766	Q5SZL2;Q6P2H3;Q3ZCQ5
K06499	Q2WEN9;Q6UY09;Q3KPI0;P13688;P40198;O75871;P06731;P40199;Q14002;P31997;Q0Z7S6;A0A024R0K5;A0A0G2JSC8;B4DLI3;Q53G30
K16825	Q7Z692
K09055	P49715
K10048	P17676
K10050	P49716
K10051	Q15744
K10049	P53567
K14832	Q03701
K00720	Q16739;A0A024R157
K22144	Q9UHN6;A0A024R229
K01346	P08217;P08218;Q6ISP9
K01345	P09093;P08861
K01326	Q9UNI1
K13207	Q92879;O95319;Q5SZQ8;Q9BZC1;Q8N6W0;Q96J87
K04600	Q9NYQ6
K04601	Q9HCU4
K04602	Q9NYQ7
K19031	Q8WUJ3
K11495	P49450
K11496	P07199
K11497	Q03188
K11498	Q02224
K11499	P49454
K11500	Q9H3R5;A0A0S2Z5T0
K11501	Q92674;A0A024RCG4
K11502	Q9HC77;A8K8P1
K11503	Q9BS16
K11504	Q8N0S6
K11505	Q9NSP4;A0A024R1Q3
K11506	Q96H22
K11507	Q9BU64
K11508	Q6IPU0
K11509	Q7L2Z9
K11510	Q13352
K11511	Q8N2Z9
K11512	Q96BT3;B3KPB2
K11513	Q71F23
K15360	A8MT69
K16801	Q96LK0
K16455	Q9BYV8
K16761	Q9C0F1
K16456	Q53EZ4
K16763	Q96MT8
K16764	Q76N32
K16802	Q8NHQ1;A0A140VJG2
K16532	Q9P209
K16457	Q8TAP6;B4DP81
K16765	Q5JTW2
K16754	Q9Y592
K16543	Q96ST8
K16544	Q96GE4
K16717	Q8IW35
K13644	Q9Y6K0
K01645	O95813
K04715	Q8TCT0;A0A024R4U8
K19602	Q49MI3
K04710	P27544;Q96G23;Q8IU89;Q9HA82;Q53HF9
K23727	Q8N5B7;Q6ZMG9
K08283	Q9Y5P4
K13624	P00450;A5PL27
K16465	Q12798;A0A140VJG3
K10840	P41208
K16466	O15182
K16835	P11597;A0A0S2Z3F6
K23456	O43822
K01335	P00751;A0A1U9X7H8
K01334	P00746
K04004	P08603;A0A024R962
K01333	P05156;A8K3L0
K04724	O15519;A0A024R3Y4
K05031	P13569;A0A024R730
K17834	Q8N884
K00746	Q8TDX6;Q8N6G5;A0A0S2Z5F5
K10045	A6NKQ9;Q6NT52;P0DN86;P0DN87;A0A0F7RQP8;A0A0F7RQF0
K01758	P32929
K21110	Q0VF96
K04628	Q16880
K04078	P61604;A0A384N6A4
K10223	O95992
K17523	P36222;Q15782;A0A024R969
K04077	P10809;A0A024R3X4
K07232	Q9BUX1;Q8WUX2
K06248	O15335
K22593	Q96JM3
K22759	Q8WYQ3
K22758	Q9Y6H1
K20092	Q86WJ1
K11367	O14646;B3KT33
K20091	O14647
K11642	Q12873;B3KWV4;Q2TAZ1
K11643	Q14839
K14435	Q8TDI0
K14436	Q8TD26
K14437	Q9P2D1;Q6ZWF9
K04494	Q9HCK8
K14438	Q3L8U1
K00108	Q8NE62
K12841	Q8IWX8
K10644	Q96EP1
K01183	Q9BZP6;Q13231;A8K3T7
K17525	Q9BWS9
K20630	P15882;P52757;A0A2X0TVW3
K09561	Q9UNE7
K02216	O14757;B4DT73
K06641	O96017
K14156	P35790;Q9Y259;A0A024R4X4
K01050	P06276
K12197	Q9HD42;Q7LBR1
K12191	O43633;A0A024R4S0
K12192	Q9UQN3;B2RE76
K12194	Q9BY43;Q9H444;Q96CF2
K12193	Q9Y3E7
K12198	Q9NZZ3
K12195	Q96FZ7
K15053	Q8WUX9;B3KUH0
K10078	Q9H9P2
K17610	Q99653;A0A024R9M9
K17611	O43745
K17612	Q96BS2
K03419	Q9P2E5
K00994	Q8WUD6
K11656	Q9NRG0
K16729	Q9UHD1
K04657	Q9H2X0;Q8N2W7
K13499	Q86X52;Q70JA7
K00747	Q8IZ52
K01022	O43916
K04745	Q9Y4C5;V9HVX9
K01020	Q7LGC8
K04746	Q8NCG5
K09670	Q9GZS9
K09671	Q9GZX3
K04743	Q9NS84
K09672	Q9H2A9
K09673	Q7L1S5;A0A024RC28
K09674	O43529
K01017	Q9NPF2;A0A024RBL0
K04742	Q9NRB3;A0A024R860
K07779	Q8NET6
K08105	Q8NCH0
K08106	Q7LFX5
K23609	Q96LT7
K09142	Q5T280
K18159	Q9Y375;A0A024R9L0
K21599	Q8N365
K17259	Q99828;A0A140VK09
K23837	O75838
K23838	Q96Q77
K23839	A0PJX0
K20225	Q96RK0
K21124	O43734
K08828	Q9UPZ9;A0A024RD59
K06102	Q9P2M7
K10639	Q9NPC3;A0A384MR52
K07196	Q15642
K06066	Q86X95
K13195	Q14011;Q53XX5
K04701	Q9NSE2
K01647	O75390;A0A024RB75
K22527	Q99966
K21361	Q99967;D9ZGF1
K22528	Q96RK1
K16773	Q96M02
K16542	Q96SN8;B3KVI2
K16769	Q8WWK9;Q8IYA6
K13999	Q07065;A0A024RBH2
K16803	Q14008
K02219	P61024;P33552;Q5T178
K23498	Q9H3J6
K23297	Q96MD2
K17516	Q5QGZ9
K17517	Q2HXU8;A0A140VK10
K19513	Q2KHT3
K17513	Q6ZS10
K22682	A5D8T8;Q6UXF7;Q8NCF0
K16578	Q7Z460;O75122
K13168	Q8N2M8;A0A0A0MQS2
K00623	P28329
K06721	Q8IUN9
K17521	Q9Y240
K17528	Q86T13
K10069	Q8NC01
K10070	Q9P126
K22680	Q6UVW9
K10071	Q92478
K10072	Q9UHP7
K22681	P0C7M8
K17519	O75596;J3KNC9
K10057	Q9UMR7
K06723	Q8WTT0
K10058	Q8WXI8
K10059	Q9ULY5
K10060	Q8N1N0
K10061	Q6UXB4;Q6XYD1;Q08G24
K06561	Q9UJ71
K10073	Q9NY25;A4D1U7
K17514	Q6EIG7
K10074	Q9BXN2;Q68D78;A0A024RAN9
K17515	Q6UXN8
K05027	A8K7I4
K05028	Q9UQC9
K05030	Q14CN2
K04644	P09496
K04645	P09497
K22188	Q96S66;A0A024R0G0
K05421	Q9UBD9
K05017	P51800
K05018	P51801;A8K8H0
K17518	Q8IZS7
K05010	P35523
K05011	P51788
K05012	P51790;P51793;P51795;A8K4H5
K05015	P51797
K05016	P51798
K06087	P78369;O75508;O95500;P56746;Q9Y5I7;P56750;P56856;Q8N6F1;O95832;P56880;Q8N7P3;Q96B33;A6NM45;C9JDP6;P57739;O15551;O14493;O00501;P56747;O95471;P56748;O95484;Q75L80;Q75L79;A5JSJ9;D3DX19;A0A140VKA2;A0A0K0K1I9;A0A384ME58
K09551	O14967;A0A140VKG2
K04646	Q00610;P53675
K05021	O00299;Q5SRT3
K05022	O15247
K05023	O95833
K05024	Q9Y696;Q6FIC5
K05025	Q9NZA1;Q53G01
K05026	Q96NY7
