dr:D00001	Water (JP17/USP)
dr:D00612	Trimetaphan camsilate (JAN/INN)
dr:D00613	Fenoldopam mesylate (USP)
dr:D00614	Sodium nitroprusside (USP)
dr:D00615	Amlodipine besylate (USP)
dr:D00616	Diltiazem hydrochloride (JP17/USP)
dr:D00617	Nicardipine hydrochloride (JP17/USAN)
dr:D00618	Nisoldipine (JAN/USAN/INN)
dr:D00619	Verapamil hydrochloride (JP17/USP)
dr:D00620	Benazepril hydrochloride (JAN/USP)
dr:D00621	Enalapril maleate (JP17/USP)
dr:D00622	Fosinopril sodium (USP)
dr:D00623	Moexipril hydrochloride (USP)
dr:D00624	Perindopril erbumine (JAN/USP)
dr:D00625	Miglitol (JP17/USAN/INN)
dr:D00626	Candesartan cilexetil (JP17/USP)
dr:D00627	Telmisartan (JP17/USP/INN)
dr:D00628	Secalciferol (JAN/USAN/INN)
dr:D00629	Nitrendipine (JP17/USAN/INN)
dr:D00630	Isosorbide mononitrate (JP17/USP/INN)
dr:D00631	Bepridil hydrochloride (USAN)
dr:D00632	Dobutamine hydrochloride (JP17/USP)
dr:D00633	Dopamine hydrochloride (JP17/USP)
dr:D00634	Bisoprolol fumarate (JP17/USP)
dr:D00635	Metoprolol succinate (USP)
dr:D00636	Amiodarone hydrochloride (JP17/USP)
dr:D00637	Disopyramide phosphate (JAN/USP)
dr:D00638	Flecainide acetate (JP17/USP)
dr:D00639	Mexiletine hydrochloride (JP17/USP)
dr:D00640	Propafenone hydrochloride (JP17/USP)
dr:D00641	Quinfamide (USAN/INN)
dr:D00642	Quinidine gluconate (USP)
dr:D00643	Quinidine polygalacturonate
dr:D00644	Esmolol hydrochloride (JAN/USP)
dr:D00645	Bretylium tosylate (USP)
dr:D00646	Tolterodine (USAN/INN)
dr:D00647	Dofetilide (JAN/USP/INN)
dr:D00648	Ibutilide fumarate (USP)
dr:D00649	Amiloride hydrochloride (USP)
dr:D00650	Bendroflumethiazide (JAN/USP/INN)
dr:D00651	Benzthiazide (JAN/INN)
dr:D00652	Brinzolamide (JAN/USP/INN)
dr:D00653	Dorzolamide hydrochloride (JP17/USP)
dr:D00654	Hydroflumethiazide (JAN/USP/INN)
dr:D00655	Methazolamide (JAN/USP/INN)
dr:D00656	Methyclothiazide (JAN/USP/INN)
dr:D00657	Polythiazide (JAN/USAN/INN)
dr:D00658	Trichlormethiazide (JP17/USP/INN)
dr:D00659	Azelastine hydrochloride (JP17/USP)
dr:D00660	Tazobactam (JP17/USP/INN)
dr:D00661	Cevimeline hydrochloride (USAN)
dr:D00662	Azatadine maleate (USP)
dr:D00663	Brompheniramine maleate (USP)
dr:D00664	Cetirizine hydrochloride (JP17/USP)
dr:D00665	Chlorpheniramine maleate (JP17/USP)
dr:D00666	Clemastine fumarate (JP17/USP)
dr:D00667	Demecarium bromide (USP/INN)
dr:D00668	Dexchlorpheniramine maleate (USP)
dr:D00669	Diphenhydramine hydrochloride (JP17/USP)
dr:D00670	Donepezil hydrochloride (JP17/USP)
dr:D00671	Fexofenadine hydrochloride (JP17/USP)
dr:D00672	Hydroxyzine hydrochloride (JP17/USP)
dr:D00673	Ranitidine hydrochloride (JP17/USP)
dr:D00674	Naratriptan hydrochloride (JAN/USP)
dr:D00675	Rizatriptan benzoate (JAN/USP)
dr:D00676	Sumatriptan succinate (JAN/USP)
dr:D00677	Granisetron hydrochloride (JAN/USP)
dr:D00678	Ondansetron hydrochloride hydrate (JAN/USP)
dr:D00679	Ergotamine tartrate (JP17/USP)
dr:D00680	Methylergonovine maleate (USP)
dr:D00681	Methysergide maleate (USP)
dr:D00682	Carboprost tromethamine (USP)
dr:D00683	Albuterol sulfate (USP)
dr:D00684	Bitolterol mesylate (USAN)
dr:D00685	Metaproterenol sulfate (USP)
dr:D00686	Pirbuterol acetate (USAN)
dr:D00687	Salmeterol xinafoate (JAN/USP)
dr:D00688	Terbutaline sulfate (JP17/USP)
dr:D00689	Beclomethasone dipropionate (USP)
dr:D00690	Mometasone furoate (JAN/USP)
dr:D00691	Dyphylline (USP)
dr:D00693	Chlordiazepoxide hydrochloride (JAN/USP)
dr:D00694	Clorazepate dipotassium (JP17/USP)
dr:D00695	Flurazepam hydrochloride (USP)
dr:D00696	Midazolam hydrochloride (USAN)
dr:D00697	Flumazenil (JAN/USP/INN)
dr:D00698	Aprobarbital (INN)
dr:D00699	Butabarbital sodium (USP)
dr:D00700	Mephobarbital (JAN/USP)
dr:D00701	Phenobarbital sodium (JAN/USP/INN)
dr:D00702	Buspirone hydrochloride (USP)
dr:D00703	Ethinamate (JAN/INN)
dr:D00704	Ethchlorvynol (JAN/USP/INN)
dr:D00705	Paraldehyde (USP)
dr:D00706	Zolpidem tartrate (JP17/USP)
dr:D00707	Fomepizole (JAN/USAN/INN)
dr:D00708	Ethotoin (JAN/USP/INN)
dr:D00709	Levetiracetam (JAN/USP/INN)
dr:D00710	Valproate sodium (USAN)
dr:D00711	Ketamine hydrochloride (JP17/USP)
dr:D00712	Methohexital sodium (USP)
dr:D00713	Thiamylal sodium (JP17)
dr:D00714	Thiopental sodium (JP17/USP/INN)
dr:D00715	Methscopolamine bromide (USP)
dr:D00716	Clidinium bromide (USP/INN)
dr:D00717	Dicyclomine hydrochloride (JAN/USP)
dr:D00718	Flavoxate hydrochloride (JP17/USP)
dr:D00719	Hyoscyamine sulfate (USP)
dr:D00720	Mepenzolate bromide (JP17/INN)
dr:D00721	Methanthelinium bromide (INN)
dr:D00722	Oxybutynin chloride (USP)
dr:D00723	Tridihexethyl chloride (BAN)
dr:D00724	Rabeprazole sodium (JP17/USP)
dr:D00725	Dolasetron mesylate (USP)
dr:D00726	Metoclopramide (JP17/INN)
dr:D00727	Olsalazine sodium (USAN)
dr:D00728	Bismuth subsalicylate (JAN/USP)
dr:D00729	Loperamide hydrochloride (JAN/USP)
dr:D00730	Butamben (USP)
dr:D00731	Magnesium hydroxide (JAN/USP)
dr:D00732	Chloroprocaine hydrochloride (USP)
dr:D00733	Dibucaine (USP)
dr:D00734	Ursodiol (USP)
dr:D00735	Dyclonine hydrochloride (USP)
dr:D00736	Trientine hydrochloride (JP17/USP)
dr:D00737	Etidocaine hydrochloride
dr:D00738	Mepivacaine hydrochloride (JP17/USP)
dr:D00739	Pramoxine hydrochloride (USP)
dr:D00740	Procaine hydrochloride (JP17/USP)
dr:D00741	Tetracaine hydrochloride (JP17/USP)
dr:D00742	Etanercept (USAN/INN)
dr:D00743	Naphazoline hydrochloride (JP17/USP)
dr:D00744	Pemoline (JAN/USAN/INN)
dr:D00745	Interferon alfa-2a (USAN/INN)
dr:D00746	Interferon beta-1b (USAN/INN)
dr:D00747	Interferon gamma-1b (USAN/INN)
dr:D00748	Aldesleukin (USAN/INN)
dr:D00749	Leflunomide (JAN/USP/INN)
dr:D00750	Levamisole hydrochloride (USP)
dr:D00751	Methylprednisolone sodium succinate (JAN/USP)
dr:D00752	Mycophenolate mofetil (JAN/USP)
dr:D00753	Sirolimus (JAN/USAN/INN)
dr:D00754	Thalidomide (JAN/USP/INN)
dr:D00755	Phenyramidol hydrochloride (USAN)
dr:D00756	Tetrahydrozoline nitrate (JAN)
dr:D00757	Xylometazoline hydrochloride (USP)
dr:D00758	Atracurium besylate (USP)
dr:D00759	Cisatracurium besylate (USP)
dr:D00760	Doxacurium chloride (USAN/INN)
dr:D00761	Metocurine iodide (USAN)
dr:D00762	Metyrosine (USP)
dr:D00763	Mivacurium chloride (USAN/INN)
dr:D00764	Pipecuronium bromide (JAN/USAN/INN)
dr:D00765	Rocuronium bromide (JAN/USP/INN)
dr:D00766	Succinylcholine chloride (USP)
dr:D00767	Vecuronium bromide (JAN/USP/INN)
dr:D00768	Carisoprodol (JAN/USP/INN)
dr:D00769	Clopidogrel bisulfate (USP)
dr:D00770	Chlorphenesin carbamate (JP17/USAN)
dr:D00771	Chlorzoxazone (JAN/USP/INN)
dr:D00772	Cyclobenzaprine hydrochloride (USP)
dr:D00773	Metaxalone (USP/INN)
dr:D00774	Orphenadrine citrate (USP)
dr:D00775	Riluzole (JAN/USP/INN)
dr:D00776	Tizanidine hydrochloride (JP17/USP)
dr:D00777	Amantadine hydrochloride (JP17/USP)
dr:D00778	Benztropine mesylate (USP)
dr:D00779	Biperiden (JAN/USP/INN)
dr:D00780	Bromocriptine mesylate (USP)
dr:D00781	Entacapone (JP17/USP/INN)
dr:D00782	Procyclidine hydrochloride (USP)
dr:D00783	Botulinum toxin type A (JAN)
dr:D00784	Ropinirole hydrochloride (JAN/USP)
dr:D00785	Selegiline hydrochloride (JAN/USP)
dr:D00786	Tolcapone (JAN/USP/INN)
dr:D00787	Trihexyphenidyl hydrochloride (JP17/USP)
dr:D00788	Acetophenazine maleate (USAN)
dr:D00789	Chlorpromazine hydrochloride (JP17/USP)
dr:D00790	Chlorprothixene (JAN/USAN/INN)
dr:D00791	Fluphenazine hydrochloride (JAN/USP)
dr:D00792	Fluphenazine enanthate (JP17/USP)
dr:D00793	Fluphenazine decanoate (JAN/USP)
dr:D00794	Loxapine succinate (USP)
dr:D00795	Mesoridazine besylate (USP)
dr:D00796	Molindone hydrochloride (USP)
dr:D00797	Promazine hydrochloride (USP)
dr:D00798	Thioridazine hydrochloride (JP17/USP)
dr:D00799	Trifluoperazine hydrochloride (JAN/USP)
dr:D00800	Triflupromazine hydrochloride (JAN/USP)
dr:D00801	Lithium carbonate (JP17/USP)
dr:D00802	Bithionol (JAN/INN)
dr:D00803	Diethylcarbamazine citrate (JP17/USP)
dr:D00804	Ivermectin (JAN/USP/INN)
dr:D00805	Metrifonate (USP/INN)
dr:D00806	Oxantel pamoate (USAN)
dr:D00807	Piperazine (USP)
dr:D00808	Suramin hexasodium (USAN)
dr:D00809	Amitriptyline hydrochloride (JP17/USP)
dr:D00810	Choline salicylate (JAN/USAN/INN)
dr:D00811	Clomipramine hydrochloride (JP17/USP)
dr:D00812	Desipramine hydrochloride (JAN/USP)
dr:D00813	Ketorolac tromethamine (USP)
dr:D00814	Doxepin hydrochloride (USP)
dr:D00815	Imipramine hydrochloride (JP17/USP)
dr:D00816	Nortriptyline hydrochloride (JP17/USP/INN)
dr:D00817	Bupropion hydrochloride (JAN/USP)
dr:D00818	Maprotiline hydrochloride (JP17/USP)
dr:D00819	Nefazodone hydrochloride (USP)
dr:D00820	Trazodone hydrochloride (JAN/USP)
dr:D00821	Venlafaxine hydrochloride (JAN/USP)
dr:D00822	Citalopram hydrobromide (USP)
dr:D00823	Fluoxetine hydrochloride (JAN/USP)
dr:D00824	Fluvoxamine maleate (JP17/USP)
dr:D00825	Sertraline hydrochloride (JAN/USP)
dr:D00826	Tranylcypromine sulfate (USP)
dr:D00827	Magnesium salicylate (USP)
dr:D00828	Dehydroemetine (INN)
dr:D00829	Eflornithine hydrochloride (USAN)
dr:D00830	Furazolidone (USP/INN)
dr:D00831	Mefloquine hydrochloride (JP17/USP)
dr:D00832	Melarsoprol (INN)
dr:D00833	Nifurtimox (USAN/INN)
dr:D00834	Pentamidine isethionate (USP)
dr:D00835	Alfentanil hydrochloride (USP)
dr:D00836	Buprenorphine hydrochloride (JP17/USP)
dr:D00837	Butorphanol tartrate (JAN/USP)
dr:D00838	Dezocine (USAN)
dr:D00839	Hydromorphone hydrochloride (JAN/USP)
dr:D00840	Levomethadyl acetate hydrochloride (USAN)
dr:D00841	Levorphanol tartrate (USP)
dr:D00842	Morphine sulfate (USP)
dr:D00843	Nalbuphine hydrochloride (USAN)
dr:D00844	Oxymorphone hydrochloride (USP)
dr:D00845	Sufentanil citrate (USP)
dr:D00846	Hydrocodone bitartrate and acetaminophen
dr:D00847	Oxycodone hydrochloride (USP)
dr:D00848	Dextromethorphan hydrobromide (USP)
dr:D00849	Methacycline hydrochloride (JAN/USP)
dr:D00850	Minocycline hydrochloride (JP17/USP)
dr:D00851	Erythromycin estolate (USP)
dr:D00852	Quinupristin (JAN/USAN/INN)
dr:D00853	Dalfopristin (JAN/USAN/INN)
dr:D00854	Quinupristin and dalfopristin
dr:D00855	Methenamine hippurate (JAN/USP)
dr:D00856	Methenamine mandelate (USP)
dr:D00857	Benzalkonium chloride (JP17/NF/INN)
dr:D00858	Chlorhexidine gluconate (JP17/USP)
dr:D00859	Hexachlorophene (USP/INN)
dr:D00860	Iodine-potassium iodide
dr:D00861	Mercurochrome (JAN)
dr:D00862	Nitrofurazone (USP)
dr:D00863	Povidone-iodine (JP17/USP)
dr:D00864	Thimerosal (JAN/USP)
dr:D00865	Amikacin sulfate (JP17/USP)
dr:D00866	Kanamycin sulfate (USP)
dr:D00867	Netilmicin sulfate (JAN/USP)
dr:D00868	Paromomycin sulfate (JAN/USP)
dr:D00869	Spectinomycin hydrochloride (USP)
dr:D00870	Sulfamethizole (JP17/USP/INN)
dr:D00871	Sulfacetamide sodium (USP)
dr:D00872	Cinoxacin (JP17/USP/INN)
dr:D00873	Lomefloxacin hydrochloride (JAN/USAN)
dr:D00874	Moxifloxacin hydrochloride (JAN/USP)
dr:D00875	Aminosalicylate sodium (USP)
dr:D00877	Cycloserine (JP17/USP/INN)
dr:D00878	Ethambutol hydrochloride (JP17/USP)
dr:D00879	Rifapentine (USAN/INN)
dr:D00880	Butoconazole nitrate (USP)
dr:D00881	Econazole nitrate (JAN/USP)
dr:D00882	Miconazole nitrate (JP17/USP)
dr:D00883	Naftifine hydrochloride (USP)
dr:D00884	Natamycin (USP/INN)
dr:D00885	Oxiconazole nitrate (JAN/USAN)
dr:D00886	Sulconazole nitrate (JAN/USP)
dr:D00887	Atorvastatin calcium anhydorous
dr:D00888	Terconazole (USP/INN)
dr:D00889	Cerivastatin sodium (JAN/USAN)
dr:D00890	Tioconazole (JAN/USP/INN)
dr:D00891	Abacavir sulfate (JAN/USP)
dr:D00892	Fluvastatin sodium (JAN/USP)
dr:D00893	Pravastatin sodium (JP17/USP)
dr:D00894	Amprenavir (JAN/USAN/INN)
dr:D00895	Delavirdine mesylate (USAN)
dr:D00896	Efavirenz (JAN/USP/INN)
dr:D00897	Indinavir sulfate (USP)
dr:D00898	Dienestrol (USP/INN)
dr:D00899	Nelfinavir mesylate (USAN/INN)
dr:D00900	Oseltamivir phosphate (JAN/USP)
dr:D00901	Rimantadine hydrochloride (USP)
dr:D00902	Zanamivir (USP/INN)
dr:D00903	Diclofenac potassium (USP)
dr:D00904	Diclofenac sodium (JP17/USP)
dr:D00905	Cefazolin sodium (JP17/USP)
dr:D00906	Cephalexin (USP)
dr:D00907	Cephalothin sodium (USP)
dr:D00908	Cephapirin sodium (USP)
dr:D00909	Cefamandole nafate (USP)
dr:D00910	Cefmetazole (USP/INN)
dr:D00911	Cefmetazole sodium (JP17/USP)
dr:D00912	Cefonicid sodium (USP)
dr:D00913	Cefoxitin sodium (JAN/USP)
dr:D00914	Cefuroxime axetil (JP17/USP/INN)
dr:D00915	Cefuroxime sodium (JAN/USP)
dr:D00916	Loracarbef (USP)
dr:D00917	Cefdinir (JP17/USP/INN)
dr:D00918	Cefoperazone sodium (JP17/USP)
dr:D00919	Cefotaxime sodium (JP17/USP)
dr:D00920	Cefpodoxime proxetil (JP17/USP)
dr:D00921	Ceftazidime (USP)
dr:D00922	Ceftibuten (USAN/INN)
dr:D00923	Ceftizoxime sodium (JP17/USP)
dr:D00924	Ceftriaxone sodium (USP)
dr:D00925	Fosfomycin tromethamine (USP)
dr:D00926	Vancomycin hydrochloride (JP17/USP)
dr:D00927	Bacampicillin hydrochloride (JP17/USAN)
dr:D00928	Nafcillin sodium (USP)
dr:D00929	Oxacillin sodium (JAN/USP)
dr:D00930	Paricalcitol (JAN/USP/INN)
dr:D00931	Calcium acetate (USP)
dr:D00932	Calcium carbonate (USP)
dr:D00933	Calcium citrate (USP)
dr:D00934	Calcium gluceptate (USP)
dr:D00935	Calcium gluconate (USP)
dr:D00936	Calcium lactate (USP)
dr:D00937	Calcium phosphate, dihydrate, dibasic (USP)
dr:D00938	Tricalcium phosphate
dr:D00939	Alendronate sodium (USP)
dr:D00940	Gallium nitrate (USAN)
dr:D00941	Pamidronate disodium (USP)
dr:D00942	Risedronate sodium (USP)
dr:D00943	Sodium fluoride (JAN/USP)
dr:D00944	Metformin hydrochloride (JP17/USP)
dr:D00945	Pioglitazone hydrochloride (JP17/USP)
dr:D00946	Diethylstilbestrol diphosphate (USP)
dr:D00947	Linezolid (JAN/USAN/INN)
dr:D00948	Estropipate (USP)
dr:D00949	Hydroxyprogesterone caproate (JAN/USP/INN)
dr:D00950	Levonorgestrel (JAN/USP/INN)
dr:D00951	Medroxyprogesterone acetate (JP17/USP)
dr:D00952	Megestrol acetate (USP)
dr:D00953	Norethindrone acetate (USP)
dr:D00954	Norgestrel (JP17/USP/INN)
dr:D00955	Nandrolone decanoate (JAN/USP)
dr:D00956	Nandrolone phenpropionate (USP)
dr:D00957	Testosterone cypionate (USP)
dr:D00958	Testosterone enanthate (JP17/USP)
dr:D00959	Testosterone propionate (JP17/USP)
dr:D00960	Anastrozole (JAN/USP/INN)
dr:D00961	Bicalutamide (JAN/USP/INN)
dr:D00962	Clomiphene citrate (USP)
dr:D00963	Exemestane (JAN/USP/INN)
dr:D00964	Letrozole (JAN/USP/INN)
dr:D00965	Nilutamide (USAN/INN)
dr:D00966	Tamoxifen citrate (JP17/USP)
dr:D00967	Toremifene citrate (JAN/USAN)
dr:D00968	Fenoprofen calcium (JAN/USP)
dr:D00969	Meloxicam (JAN/USP/INN)
dr:D00970	Naproxen sodium (USP)
dr:D00971	Sodium thiosalicylate
dr:D00972	Betamethasone sodium phosphate (JP17/USP)
dr:D00973	Cortisone acetate (JP17/USP)
dr:D00974	Deximafen (USAN/INN)
dr:D00975	Dexamethasone sodium phosphate (JAN/USP)
dr:D00976	Hydrocortisone cypionate
dr:D00977	Hydrocortisone sodium phosphate (JP17/USP)
dr:D00978	Hydrocortisone sodium succinate (JP17/USP)
dr:D00979	Methylprednisolone acetate (JAN/USP)
dr:D00980	Prednisolone acetate (JP17/USP/INN)
dr:D00981	Prednisolone sodium phosphate (JP17/USP)
dr:D00982	Prednisolone tebutate (JAN/USP)
dr:D00983	Triamcinolone acetonide (JP17/USP)
dr:D00984	Triamcinolone diacetate (JAN/USP)
dr:D00985	Triamcinolone hexacetonide (USP/INN)
dr:D00986	Fludrocortisone acetate (JP17/USP)
dr:D00987	Cabergoline (JAN/USP/INN)
dr:D00988	Gonadorelin hydrochloride (USP)
dr:D00989	Leuprolide acetate (USP)
dr:D00990	Nafarelin acetate (USAN)
dr:D00991	Aurothioglucose (USP)
dr:D00992	Gold sodium thiomalate (USP)
dr:D00993	Meclofenoxate (INN)
dr:D00994	Edrophonium chloride (JP17/USP/INN)
dr:D00995	Neostigmine bromide (JAN/USP/INN)
dr:D00996	Epinephrine hydrochloride (JAN)
dr:D00997	Tolazoline hydrochloride (JAN/USP)
dr:D00998	Neostigmine methylsulfate (JP17/USP)
dr:D00999	Acetylcholine chloride (JP17/USP/INN)
dr:D01000	Bethanechol chloride (JP17/USP)
dr:D01001	Ambenonium chloride (JP17/INN)
dr:D01002	Cyclopentolate hydrochloride (JP17/USP)
dr:D01003	Hexocyclium metilsulfate (INN)
dr:D01004	Homatropine hydrobromide (JP17/USP)
dr:D01005	Isopropamide iodide (JAN/USP/INN)
dr:D01006	Oxyphencyclimine hydrochloride (JAN)
dr:D01007	Propiverine hydrochloride (JP17)
dr:D01008	Apraclonidine hydrochloride (JAN/USP)
dr:D01009	Doxercalciferol (USAN/INN)
dr:D01010	Levothyroxine sodium (USP)
dr:D01011	Liothyronine sodium (JP17/USP)
dr:D01012	Dried thyroid (JP17)
dr:D01013	Diatrizoate sodium (USP)
dr:D01014	Iopanoic acid (JAN/USP/INN)
dr:D01015	Ipodate sodium (USAN)
dr:D01016	Potassium iodide (JP17/USP)
dr:D01017	Dipivefrin hydrochloride (JAN/USP)
dr:D01018	Mephentermine sulfate
dr:D01019	Metaraminol bitartrate (JAN/USP)
dr:D01020	Methoxamine hydrochloride (JAN)
dr:D01021	Naphazoline nitrate (JP17)
dr:D01022	Oxymetazoline hydrochloride (JAN/USP)
dr:D01023	Tetrahydrozoline hydrochloride (JAN/USP)
dr:D01024	Tamsulosin hydrochloride (JP17/USP)
dr:D01025	Levobunolol hydrochloride (JAN/USP)
dr:D01026	Sotalol hydrochloride (JAN/USP)
dr:D01027	Hydroxocobalamin (JAN/USP/INN)
dr:D01028	Ticlopidine hydrochloride (JP17/USP)
dr:D01029	Tirofiban hydrochloride (USAN)
dr:D01030	Saffron (JP17)
dr:D01031	Helenien (JAN)
dr:D01032	Agar (JP17/NF)
dr:D01033	Tragacanth (JP17/NF)
dr:D01034	Trioxsalen (USP)
dr:D01035	Cepharanthine (JAN)
dr:D01036	Noscapine (JP17/USP/INN)
dr:D01037	1,4-Dimethyl-7-isopropylazulene (JAN)
dr:D01038	Hesperidin (JAN)
dr:D01039	Thymol (JP17/NF)
dr:D01040	Bergenin (JAN)
dr:D01041	Sparteine (INN)
dr:D01042	Fipronil (JAN)
dr:D01043	Dimethyl sulfoxide (JAN/USP/INN)
dr:D01044	Flupentixol (INN)
dr:D01045	Sodium lauryl sulfate (JP17/NF)
dr:D01046	Gentian violet (USP)
dr:D01047	Sulfathiazole (USP/INN)
dr:D01048	Panipenem (JP17/INN)
dr:D01049	Nimesulide (JAN/INN)
dr:D01050	Nifuratel (USAN)
dr:D01051	Spiperone (JAN/USAN)
dr:D01052	Cefozopran (INN)
dr:D01053	Penicillin G potassium (USP)
dr:D01054	Cefluprenam (JAN/INN)
dr:D01055	Emivirine (USAN/INN)
dr:D01056	Benzbromarone (JP17/USAN/INN)
dr:D01057	Biapenem (JAN/USAN/INN)
dr:D01058	Lenapenem hydrochloride hydrate (JAN)
dr:D01059	Nimustine hydrochloride (JAN)
dr:D01060	Technetium Tc 99m sestamibi (USP)
dr:D01061	Irinotecan hydrochloride (USP)
dr:D01062	Cetylpyridinium chloride (USP)
dr:D01063	Gentamicin sulfate (JP17/USP)
dr:D01064	Raltitrexed (JAN/USAN/INN)
dr:D01065	Ubidecarenone (JP17/INN)
dr:D01066	Polymyxin B sulfate (USP/INN)
dr:D01067	Polysorbate 80 (JP17/NF/INN)
dr:D01068	Vinblastine sulfate (JP17/USP)
dr:D01069	Cilazapril (USAN)
dr:D01070	Candoxatril (JAN/USAN/INN)
dr:D01071	Hexobarbital (JAN/INN)
dr:D01072	Chloramphenicol palmitate (JP17/USP)
dr:D01073	Clindamycin phosphate (JP17/USP)
dr:D01074	Hetacillin (USAN/INN)
dr:D01075	Cephaloridine (USAN)
dr:D01076	Mupirocin (USP/INN)
dr:D01077	Methylatropine nitrate (USAN)
dr:D01078	Telithromycin (JAN/USAN/INN)
dr:D01079	Tigecycline (JAN/USP)
dr:D01080	Daptomycin (JAN/USAN/INN)
dr:D01081	Zinc sulfate hydrate (JP17)
dr:D01082	Calcium pantothenate (JP17/USP/INN)
dr:D01083	Calcium hydroxide (JP17/USP)
dr:D01084	Talc (JP17/USP)
dr:D01085	Saccharin (JP17/NF)
dr:D01086	Ethyl vanillin (NF)
dr:D01087	Methyl salicylate (JP17/NF)
dr:D01088	Pemirolast potassium (JP17/USAN)
dr:D01089	Boric acid (JP17/NF)
dr:D01090	Pamicogrel (JAN/INN)
dr:D01091	Sodium thiosulfate (USP)
dr:D01092	Lanoconazole (JP17/INN)
dr:D01093	Butenafine hydrochloride (JP17/USAN)
dr:D01094	Pyrrolnitrin (JP17/USAN/INN)
dr:D01095	Tribenoside (JAN/USAN/INN)
dr:D01096	Hydroxyzine pamoate (JP17/USP)
dr:D01097	Lazabemide hydrochloride (JAN/USAN)
dr:D01098	Maxacalcitol (JAN/USAN/INN)
dr:D01099	Iocarmic acid (JAN/USAN/INN)
dr:D01100	Pirenoxine (JP17/INN)
dr:D01101	Bromperidol (JAN/USAN/INN)
dr:D01102	Esonarimod (JAN/INN)
dr:D01103	Trospium chloride (JAN/USP/INN)
dr:D01104	Barnidipine hydrochloride (JAN)
dr:D01105	Moperone hydrochloride (JAN)
dr:D01106	Eprazinone hydrochloride (JAN)
dr:D01107	Milnacipran hydrochloride (JAN/USAN)
dr:D01108	Magnesium sulfate (USP)
dr:D01109	Exametazime (JAN/USAN/INN)
dr:D01110	Melitracen hydrochloride (JAN/USAN)
dr:D01111	Nateglinide (JP17/USP/INN)
dr:D01112	Adapalene (JAN/USP/INN)
dr:D01113	Loxiglumide (JAN/INN)
dr:D01114	Ethylenediamine (USP/JP17)
dr:D01115	Eplerenone (JP17/USAN/INN)
dr:D01116	Bucetin (JAN/INN)
dr:D01117	Mizolastine (JAN/INN)
dr:D01118	Profenamine hydrochloride (JAN)
dr:D01119	Temocapril hydrochloride (JP17/USAN)
dr:D01120	Glutaral (JAN/USP/INN)
dr:D01121	Rebamipide (JP17/INN)
dr:D01122	Ibuprofen piconol (JP17/USAN)
dr:D01123	Seratrodast (JAN/USAN/INN)
dr:D01124	Zinc undecylenate (JAN/USP)
dr:D01125	Calcipotriene (USP)
dr:D01126	Arginine hydrochloride (USP)
dr:D01127	Sulfatolamide (JAN/INN)
dr:D01128	Ramatroban (JAN/INN)
dr:D01129	Doramectin (JAN/USAN/INN)
dr:D01130	Thiethylperazine maleate (JAN/USP)
dr:D01131	Lafutidine (JP17/INN)
dr:D01132	Tazarotene (JAN/USAN/INN)
dr:D01133	Pimobendan (JAN/USAN/INN)
dr:D01134	Epristeride (JAN/USAN/INN)
dr:D01135	Efloxate (JAN/INN)
dr:D01136	Tranexamic acid (JP17/USP/INN)
dr:D01137	Gadoteridol (JAN/USP/INN)
dr:D01138	Benzyl benzoate (JP17/USP)
dr:D01139	Ammonium chloride (JAN/USP)
dr:D01140	Benzethonium chloride (JP17/USP/INN)
dr:D01141	Sulfamonomethoxine (JAN/USAN/INN)
dr:D01142	Sulfadimethoxine (JAN/USP)
dr:D01143	Isothipendyl hydrochloride (JAN)
dr:D01144	Prulifloxacin (JAN/INN)
dr:D01145	Azelnidipine (JP17/INN)
dr:D01146	Iguratimod (JAN/INN)
dr:D01147	Nadifloxacin (JAN/INN)
dr:D01148	Tolterodine tartrate (JAN/USP)
dr:D01149	Oxabolone cipionate (JAN/INN)
dr:D01150	Methyprylon (JAN/INN)
dr:D01151	Lemildipine (JAN/INN)
dr:D01152	Oxethazaine (JP17/USAN)
dr:D01153	Pazufloxacin (JAN/INN)
dr:D01154	Potassium acetate (JAN/USP)
dr:D01155	Gemcitabine hydrochloride (JAN/USP)
dr:D01156	Amelometasone (JAN/INN)
dr:D01157	Cefepime hydrochloride (USP)
dr:D01158	Furazabol (JAN/INN)
dr:D01159	Gestonorone caproate (JAN/USAN)
dr:D01160	Saquinavir mesylate (USP)
dr:D01161	Fulvestrant (JAN/USP/INN)
dr:D01162	Verteporfin (JAN/USP/INN)
dr:D01163	Ergonovine maleate (USP)
dr:D01164	Aripiprazole (JAN/USP/INN)
dr:D01165	Piperidolate hydrochloride (JAN)
dr:D01166	Mafenide acetate (JAN/USP)
dr:D01167	Magnesium oxide (JP17/USP)
dr:D01168	Potassium hydroxide (JP17/NF)
dr:D01169	Sodium hydroxide (JP17/NF)
dr:D01170	Zinc oxide (JP17/USP)
dr:D01171	Monatepil maleate (JAN/USAN)
dr:D01172	Diphenylpyraline hydrochloride (JAN)
dr:D01173	Cilnidipine (JP17/INN)
dr:D01174	Pheniramine maleate (JAN/USP)
dr:D01175	Carpronium chloride (JAN/INN)
dr:D01176	Blonanserin (JAN/INN)
dr:D01177	Remifentanil hydrochloride (JAN/USAN)
dr:D01178	Phenethicillin potassium (JP17)
dr:D01179	Duloxetine hydrochloride (JAN/USP)
dr:D01180	Trilostane (JAN/USAN)
dr:D01181	Iobitridol (JAN/INN)
dr:D01182	Alprenolol hydrochloride (JP17/USAN)
